Produto_id;Nome;Valor
0;Aperitivos Mix Amendoins;15
1;Coalho em Barra;25
2;Espeto Coalho Quatá;16,5
3;Farofa Artesanal;14
4;Manteiga 200gr ;9
5;Manteiga 400gr;15
6;Mussarela Grande - kg;34,5
7;Mussarela Pequena;28
8;Palmito;17
9;Pão de Queijo Balde 1kg e Saquinho 1kg;15
10;Parmesão Desidratado Assado ;6
11;Pimenta e Pimenta Biquinho;10
12;Pimenta Biquinho;10
13;Provolone Desidratado 45gr ;5
14;Provolone Desidratado 156gr;20
15;Queijo Araxá Metade;18
16;Queijo Araxá Inteiro;37
17;Queijo Cabacinha;17
18;Queijo Frescal;15
19;Queijo Meia Cura Metade;16
20;Queijo Meia Cura Inteiro;32
21;Queijo Napolitano ;30
22;Queijo Nó de Cunha;23
23;Queijo Nozão p/ Churrasco - kg;37
24;Queijo Nozinho;15
25;Queijo Nozinho Temperado;15
26;Queijo Palito ;15
27;Queijo Palito Temperado;15
28;Queijo Padrão;32
29;Queijo Parmesão;42
30;Queijo Parmesão Capa Preta (Montanhês);32
31;Queijo Prato Santiago;35
32;Queijo Provolone;35
33;Queijo para Pipoca 200gr ;15
34;Queijo Trufado Lata 400gr;22
35;Queijo Trufado Lata 700gr;42
36;Requeijão Cremoso;14
37;Requeijão do Norte;25
38;Salame;20
39;Bananinha 200gr;5
40;Goiabada Cascão;8
41;Doce Cocada de Pote;15
42;Doces de Pote;14
43;Doce de Pote Diet;15
44;Doce Nhá Nair;10
45;Biscoito no Pote;10
46;Biscoito Saquinho;5
47;Geleias;15
48;Paçoca Caseira no Pilão;10
49;Café Torrado e Moido de Minas – 500gr;23
50;Mel Grande;17,5
51;Mel Pequeno;13,5
52;Vinho 700ml;15
53;Vinho 900ml;18
54;Vinho 2L;33
55;Vinho Pergóla;30
56;Vinho 4,5L;60
1;Coalho em Barra;25
2;Espeto Coalho Quatá;16,5
3;Farofa Artesanal;14
4;Manteiga 200gr;9
5;Manteiga 400gr;15
6;Mussarela Grande - kg;34,5
7;Mussarela Pequena;28
8;Palmito;17
9;Pão de Queijo Balde 1kg e Saquinho 1kg;15
10;Parmesão Desidratado Assado;6
11;Pimenta e Pimenta Biquinho;10
12;Pimenta Biquinho;10
13;Provolone Desidratado 45gr;5
14;Provolone Desidratado 156gr;20
15;Queijo Araxá Metade;18
16;Queijo Araxá Inteiro;37
17;Queijo Cabacinha;17
18;Queijo Frescal;15
19;Queijo Meia Cura Metade;16
20;Queijo Meia Cura Inteiro;32
21;Queijo Napolitano;30
22;Queijo Nó de Cunha;23
23;Queijo Nozão p/ Churrasco - kg;37
24;Queijo Nozinho;15
25;Queijo Nozinho Temperado;15
26;Queijo Palito;15
27;Queijo Palito Temperado;15
28;Queijo Padrão;32
29;Queijo Parmesão;42
30;Queijo Parmesão Capa Preta (Montanhês);32
31;Queijo Prato Santiago;35
32;Queijo Provolone;35
33;Queijo para Pipoca 200gr;15
34;Queijo Trufado Lata 400gr;22
35;Queijo Trufado Lata 700gr;42
36;Requeijão Cremoso;14
37;Requeijão do Norte;25
38;Salame;20
39;Bananinha 200gr;5
40;Goiabada Cascão;8
41;Doce Cocada de Pote;15
42;Doces de Pote;14
43;Doce de Pote Diet;15
44;Doce Nhá Nair;10
45;Biscoito no Pote;10
46;Biscoito Saquinho;5
47;Geleias;15
48;Paçoca Caseira no Pilão;10
49;Café Torrado e Moido de Minas – 500gr;23
50;Mel Grande;17,5
51;Mel Pequeno;13,5
52;Vinho 700ml;15
53;Vinho 900ml;18
54;Vinho 2L;33
55;Vinho Pergóla;30
56;Vinho 4,5L;60
